file_name,text
2.jpeg,Louis frowning and wearing a durag
6.jpeg,Louis on a bus with a short afro 
10.jpeg,Louis in a field with a short afro 
11.jpeg,Louis wearing sunglasses
9.jpeg,Louis with a medium length afro puckering his lips 
14.jpeg,Louis with a medium length afro, wearing headphones
15.jpeg,Louis with cornrows
20.jpeg,Louis with boxbraids, holding flowers, dressed in graduation outfit
21.jpeg,louis with afro
22.jpeg,Louis with boxbraids on holiday
23.jpeg,Louis with afro
26.jpeg,Louis with a short afro and happy expression, working in the laboratory
29.jpeg,Louis with cornrows and an angry expression
31.jpeg,Louis with a big afro 
32.jpeg,Louis with a big afro
36.jpeg,Louis with a short afro and happy expression
37.jpeg,Louis with a medium length afro 
38.jpeg,Louis with a medium length afro and moustache
40.jpeg,Louis with a short afro, standing in a park wearing a puffer jacket
42,jpeg,Louis with a medium length afro, smiling
43.jpeg,Louis with a big afro wearing a scarf
51.jpeg,Louis with box braids on holiday 
53.jpeg,Louis with a shaved head, eating dinner 
58.jpeg,Louis with a short hair, smiling 
59.jpeg,Louis with a short hair, smiling 
61.jpeg,Louis with a short afro, smiling
64.jpeg,Louis wearing a hat and smiling
67.jpeg,Louis with a big afro, opening his mouth
69.jpeg,Louis with a shaved head
76.jpeg,Louis with a big afro, smiling 
77.jpeg,Louis with box braids, frowning 
78.jpeg,Louis with a big afro, puckering his lips
81.jpeg,Louis with box braids on holiday
83.jpeg,Louis with box braids, smiling 
91.jpeg,Louis with shaved head, smiling 
88.jpeg,Louis with a big afro
92.jpeg,Louis with a short afro, on holiday in Brazil
93.jpeg,Louis wearing a cap on holiday by the sea
94.jpeg,Louis with box braids, doing business
97.jpeg,Louis with medium legnth afro standing in a park
98.jpeg,Louis with short hair wearing a puffer jacket
100.jpeg,Louis with short hair standing in front of a tank 
101.jpeg,Louis wearing a helmet, riding a bike
103.jpeg,Louis with short hair and a neutral expression 
104.jpeg,Louis with short hair and a neutral expression
105.jpeg,Louis with short hair, smiling
106.jpeg,Louis with short hair
86.jpeg,Louis with cornrows, smiling 
73.jpeg,Louis with a short afro, smiling 
74.jpeg,Louis with a shaved head smiling 
75.jpeg,Louis wearing a hat smiling 
66.jpeg,Louis with an afro smiling 




